# ============================================================
# ÇEÇENCE KELİMELER - RAZLIB.RU SÖZLÜĞÜNDEN YENİ KELİMELER
# Kaynak: Самоучитель чеченского языка (razlib.ru)
# 2956 kelimelik sözlükten oyuna uygun 68 yeni kelime
# Tarih: Haziran 2026
# ============================================================

акхар      — зверь, дикий зверь
ал         — алый, ярко-красный
алапа      — пламя, огонь
амат       — вкус
арахь      — снаружи, на улице
арз        — жалоба, плач
ата        — дед, дедушка
аха        — пахать, обрабатывать землю
аьлла      — сказал, произнес
аьрга      — кривой, изогнутый
аьрто      — орел
аьста      — белый, светлый
аьтто      — возможность, удача
багахь     — во рту
бажа       — телка, молодая корова
бакъо      — право, истина
барам      — мера, размер
баран      — баран
барзо      — копье, пика
баха       — жить, проживать
бахам      — хозяйство, имущество
бац        — нет, не имеется
бегаше     — плечо
берам      — терпение, выдержка
бертиг     — кольцо, перстень
берч       — долг, обязанность
бил        — лопата
бина       — построил, соорудил
боз        — тесто
боху       — дует (ветер)
бохча      — сад
боцуш      — без, кроме
боьрша     — самец, мужской
буллу      — положил, насыпал
буту       — верблюжонок
буьйда     — жидкий, редкий
буьйр      — приказ, команда
варкъ      — ветка, сук
васт       — вещь, предмет
виц        — забыть
вонах      — снаружи, вне
ворот      — шея
гайта      — показать, явить
гайтам     — показ, демонстрация
гар        — согласие, мир
герка      — цапля
гийзаг     — петух
гилдиг     — топор
говза      — искусный, умелый
гуй        — лебедь
даархо     — едок, кормилец
даго       — гореть, сгорать
даза       — праздновать, торжествовать
даим       — всегда, постоянно
дак        — кусок, часть
дархо      — плотник, столяр
дека       — твердый, крепкий
дийса      — правильно, верно
дист       — поле, равнина
дой        — жеребец, конь
духа       — вдоль, по
екха       — жечь, обжигать
екхоъ      — огонь, пламя
жимо       — медленно, тихо
када       — рассказать, поведать
кало       — сможет, сумеет
курза      — кольцо, перстень
